[MAIN] [PLOT] 1781475865.9393902, sc:2, error_rate:0.0, N:1, phase:4, run:0, duration:5.1974
[MAIN] [PLOT] 1781475859.740333, sc:1, error_rate:0.0, N:1, phase:4, run:0, duration:5.1879
[MAIN] [PLOT] 1781476960.2981584, sc:1, error_rate:0.0, N:10, phase:4, run:1, duration:5.1866
[MAIN] [PLOT] 1781476966.4852252, sc:2, error_rate:0.0, N:10, phase:4, run:1, duration:5.1854
[MAIN] [PLOT] 1781476972.6657224, sc:3, error_rate:0.0, N:10, phase:4, run:1, duration:5.1789
[MAIN] [PLOT] 1781476978.853003, sc:4, error_rate:0.0, N:10, phase:4, run:1, duration:5.1857
[MAIN] [PLOT] 1781476985.0401378, sc:5, error_rate:0.0, N:10, phase:4, run:1, duration:5.1856
[MAIN] [PLOT] 1781476991.234704, sc:1, error_rate:0.05, N:10, phase:4, run:1, duration:5.1929
[MAIN] [PLOT] 1781476997.4288487, sc:2, error_rate:0.05, N:10, phase:4, run:1, duration:5.1926
[MAIN] [PLOT] 1781477120.1055946, sc:3, error_rate:0.05, N:10, phase:4, run:1, duration:121.6752
[MAIN] [PLOT] 1781477126.2933898, sc:4, error_rate:0.05, N:10, phase:4, run:1, duration:5.1858
[MAIN] [PLOT] 1781477248.9631743, sc:5, error_rate:0.05, N:10, phase:4, run:1, duration:121.6677
[MAIN] [PLOT] 1781477255.1578486, sc:1, error_rate:0.1, N:10, phase:4, run:1, duration:5.1920
[MAIN] [PLOT] 1781477261.3543806, sc:2, error_rate:0.1, N:10, phase:4, run:1, duration:5.1940
[MAIN] [PLOT] 1781477384.1120336, sc:3, error_rate:0.1, N:10, phase:4, run:1, duration:121.7561
[MAIN] [PLOT] 1781477390.2999313, sc:4, error_rate:0.1, N:10, phase:4, run:1, duration:5.1861
[MAIN] [PLOT] 1781477512.9697318, sc:5, error_rate:0.1, N:10, phase:4, run:1, duration:121.6682
[MAIN] [PLOT] 1781477519.15762, sc:1, error_rate:0.15, N:10, phase:4, run:1, duration:5.1861
[MAIN] [PLOT] 1781477525.3517673, sc:2, error_rate:0.15, N:10, phase:4, run:1, duration:5.1922
[MAIN] [PLOT] 1781477648.1328335, sc:3, error_rate:0.15, N:10, phase:4, run:1, duration:121.7793
[MAIN] [PLOT] 1781477654.3311074, sc:4, error_rate:0.15, N:10, phase:4, run:1, duration:5.1964
[MAIN] [PLOT] 1781477777.094471, sc:5, error_rate:0.15, N:10, phase:4, run:1, duration:121.7618
[MAIN] [PLOT] 1781477783.275249, sc:1, error_rate:0.2, N:10, phase:4, run:1, duration:5.1788
[MAIN] [PLOT] 1781477789.469632, sc:2, error_rate:0.2, N:10, phase:4, run:1, duration:5.1927
[MAIN] [PLOT] 1781477912.2295237, sc:3, error_rate:0.2, N:10, phase:4, run:1, duration:121.7583
[MAIN] [PLOT] 1781478034.7340684, sc:4, error_rate:0.2, N:10, phase:4, run:1, duration:121.5025
[MAIN] [PLOT] 1781478157.3964994, sc:5, error_rate:0.2, N:10, phase:4, run:1, duration:121.6608
