[MAIN] Clearing all output logs
[MAIN] [PLOT] 1780796471.3742657, sc:2, error_rate:0.0, duration:101.5318
[MAIN] [PLOT] 1780796579.372252, sc:2, error_rate:0.05, duration:106.9700
[MAIN] [PLOT] 1780796692.7099607, sc:2, error_rate:0.1, duration:112.3087
[MAIN] [PLOT] 1780796814.1197283, sc:2, error_rate:0.15, duration:120.3817
[MAIN] [PLOT] 1780796941.0458684, sc:2, error_rate:0.2, duration:125.8963
[MAIN] [PLOT] 1780797074.8645105, sc:2, error_rate:0.25, duration:132.7906
[MAIN] [PLOT] 1780797218.5042644, sc:2, error_rate:0.3, duration:142.6116
[MAIN] [PLOT] 1780797375.7760952, sc:2, error_rate:0.35, duration:156.2438
[MAIN] [PLOT] 1780797541.7718253, sc:2, error_rate:0.4, duration:164.9672
[MAIN] [PLOT] 1780797721.6289902, sc:2, error_rate:0.45, duration:178.8286
[MAIN] [PLOT] 1780797721.6289902, sc:2, error_rate:0.50, duration:235.7532
[MAIN] [PLOT] 1780797721.6289902, sc:2, error_rate:0.55, duration:235.0018
[MAIN] [PLOT] 1780797721.6289902, sc:2, error_rate:0.60, duration:251.6075
[MAIN] [PLOT] 1780797721.6289902, sc:2, error_rate:0.65, duration:286.1593
[MAIN] [PLOT] 1780797721.6289902, sc:2, error_rate:0.70, duration:334.7851
[MAIN] [PLOT] 1780797721.6289902, sc:2, error_rate:0.75, duration:401.8652
[MAIN] [PLOT] 1780797721.6289902, sc:2, error_rate:0.80, duration:501.8753
[MAIN] [PLOT] 1780797721.6289902, sc:2, error_rate:0.85, duration:668.5535
[MAIN] [PLOT] 1780797721.6289902, sc:2, error_rate:0.90, duration:1003.8743
[MAIN] [PLOT] 1780797721.6289902, sc:2, error_rate:0.95, duration:2005.7533
